title,popularity,favorites,studios
I My Me! Strawberry Eggs,4007,103,TNK
Kakyuusei 2: Hitomi no Naka no Shoujo-tachi,8196,6,Arms
Kidou Shinsengumi Moeyo Ken TV,8359,1,Trinet Entertainment|Picture Magic
Majo no Takkyuubin,369,6725,Studio Ghibli
Tenkuu no Shiro Laputa,468,4839,Studio Ghibli
Cossette no Shouzou,2749,449,Daume
Hajimari no Boukensha-tachi: Legend of Crystania,8284,10,Triangle Staff
Keroro Gunsou,2676,1366,Sunrise
School Rumble: Ichi Gakki Hoshuu,3181,105,Studio Comet
Mahou no Princess Minky Momo,6803,59,Ashi Productions
Mahoraba: Heartful Days,4774,107,J.C.Staff
Marmalade Boy Movie,6676,27,Toei Animation
Mermaid Melody Pichi Pichi Pitch,2557,1082,Actas|Synergy Japan
Metropolis,2111,714,Madhouse
Tonari no Totoro,145,9270,Studio Ghibli
Onegai☆Twins: Natsu wa Owaranai,4571,9,Daume
Otogizoushi,5533,53,Production I.G
Boku no Chikyuu wo Mamotte,5167,172,Production I.G
Pokemon,354,5836,OLM
Pokemon Movie 01: Mewtwo no Gyakushuu,986,471,OLM
Saishuu Heiki Kanojo,2309,629,Gonzo
Bishoujo Senshi Sailor Moon,651,11090,Toei Animation
Bishoujo Senshi Sailor Moon R: The Movie,2917,279,Toei Animation
Bishoujo Senshi Sailor Moon S,1692,1548,Toei Animation
Sensei no Ojikan: Dokidoki School Hours,7351,22,J.C.Staff
Slayers,1727,2069,E&G Films
Slayers Next,2829,882,E&G Films
Slayers: The Motion Picture,4897,28,J.C.Staff
Tekken,5765,22,Studio Deen
Shin Tenchi Muyou!,4056,95,AIC
Tenchi Muyou! Ryououki,3282,617,AIC
Tenchi Muyou! Ryououki 2nd Season,4596,93,AIC
Tenchi Muyou! Ryououki 3rd Season,5229,49,AIC
Vampire Hunter D (2000),1151,3424,Madhouse
Venus Senki,5653,62,Triangle Staff
Mousou Kagaku Series: Wandaba Style,9818,4,TNK
Wind: A Breath of Heart (TV),6546,11,Radix
Wind: A Breath of Heart OVA,10632,1,Venet
Yu☆Gi☆Oh!,1046,1423,Toei Animation
Grappler Baki: Saidai Tournament-hen,2308,302,Group TAC
Digimon Adventure,631,5782,Toei Animation
Yami no Matsuei,3253,398,J.C.Staff
Koutetsu Tenshi Kurumi,4841,74,OLM
Koutetsu Tenshi Kurumi 2,6427,13,OLM
Koutetsu Tenshi Kurumi Zero,8920,3,OLM
Koutetsu Tenshi Kurumi Encore,7914,7,OLM
Major S2,2816,312,Studio Hibari
RahXephon: Kansoukyoku/Kanojo to Kanojo Jishin to - Thatness and Thereness,7980,3,Bones
Soukyuu no Fafner: Dead Aggressor - Right of Left,5927,26,Xebec
Sakura Taisen,4633,72,Madhouse
Sakura Taisen: Le Nouveau Paris,10458,2,Radix
DNA²,3621,120,Madhouse|Studio Deen
Puni Puni☆Poemii,4301,116,J.C.Staff
Steamboy,2527,177,Sunrise
Tetsuwan Birdy,4295,89,Madhouse
The Big O,2265,1068,Sunrise
Bubblegum Crisis Tokyo 2040,3859,212,AIC
Musekinin Kanchou Tylor,3394,609,Tatsunoko Production
Jin-Rou,1356,2228,Production I.G
Moldiver,9192,8,AIC
Kaze no Tani no Nausicaä,652,6070,Topcraft
Saber Marionette J,4231,232,Studio Junio
Rean no Tsubasa,9473,2,Sunrise
Magikano,4210,45,Tokyo Kids
Kagi Hime Monogatari: Eikyuu Alice Rondo,7247,17,Trinet Entertainment|Picture Magic
Hotaru no Haka,303,9191,Studio Ghibli
Battle Programmer Shirase,4151,125,AIC
Kogepan,8464,37,Studio Pierrot
